monthly_salary,credit_score,travel_spend,dining_spend,shopping_spend,grocery_spend,entertainment_spend,fuel_spend,utilities_spend,card_recommended,card_name
22285,737,681,4295,3677,433,560,1209,62,1,SBI SimplyCLICK
38749,704,3723,5357,7551,7701,873,476,1352,4,SBI Cashback Card
143555,806,2111,1095,4222,923,6624,1018,503,7,HDFC Regalia
42297,746,270,6355,3203,6237,1468,1110,188,5,HDFC Millennia
454503,799,3415,875,784,1405,7796,1283,1509,7,HDFC Regalia
113161,635,2891,3523,39527,4729,277,2240,493,0,Kotak 811
52716,632,583,1195,9613,1857,3697,2082,411,0,Kotak 811
372740,601,3908,899,4402,5904,2013,1233,15273,0,Kotak 811
134965,764,2784,7874,1201,11485,3722,5698,425,8,IndusInd Legend
26140,698,2479,674,5479,6029,168,519,4143,2,Axis Flipkart
54535,736,1101,991,7823,2131,1561,1183,1878,3,Amazon Pay ICICI
81083,796,2912,33316,459,19,3066,850,824,5,HDFC Millennia
46826,742,2767,9773,90,2426,2179,1922,2209,5,HDFC Millennia
51943,682,737,13118,46,25467,2346,2930,725,2,Axis Flipkart
126624,771,321,34,20745,10353,4969,5178,3612,7,HDFC Regalia
13175,621,53,452,155,1740,1554,31,1635,0,Kotak 811
15242,622,1687,338,991,191,754,536,144,0,Kotak 811
15409,789,736,305,52,297,331,702,128,0,Kotak 811
32190,736,3327,2083,3262,1924,800,275,465,4,SBI Cashback Card
116378,652,9616,10416,9593,1900,1544,260,628,0,Kotak 811
56897,700,7717,3984,3579,1893,6420,157,6081,4,SBI Cashback Card
44008,732,6277,10084,2415,1667,4847,1583,217,5,HDFC Millennia
122368,783,5069,898,2200,12501,605,783,416,7,HDFC Regalia
34821,719,1016,5595,2250,327,1401,1641,4,6,ICICI Coral
45456,661,1465,4624,2108,7412,2384,1517,2892,0,Kotak 811
20070,796,456,1662,1009,2005,178,1418,272,2,Axis Flipkart
86672,768,3531,631,8736,1661,7259,4372,3707,5,HDFC Millennia
142594,759,1395,7742,15756,255,1520,3448,1820,8,IndusInd Legend
21023,703,2454,1440,167,810,385,134,480,0,Kotak 811
89336,757,3804,5037,8157,4769,6342,2701,2375,5,HDFC Millennia
52606,646,1601,1518,357,1090,595,1114,2895,0,Kotak 811
84968,721,14807,471,3414,1532,653,364,2921,4,SBI Cashback Card
149388,733,2210,6727,2257,2540,7484,823,1904,5,HDFC Millennia
12606,669,109,3195,950,279,350,459,39,0,Kotak 811
44029,845,525,2161,3623,7026,1156,3211,1975,4,SBI Cashback Card
53399,816,369,4323,3682,2229,6531,1263,528,5,HDFC Millennia
18548,654,1750,3538,5336,4781,546,2246,1050,0,Kotak 811
68199,763,4494,968,5678,8057,1884,26,24,3,Amazon Pay ICICI
129119,642,212,9904,1469,4337,4955,702,846,0,Kotak 811
14444,674,2183,5776,66,1653,268,230,810,0,Kotak 811
28696,626,2667,663,2382,1019,1226,252,244,0,Kotak 811
89961,746,1146,3387,9524,4971,1673,948,5491,5,HDFC Millennia
370462,668,8414,3074,10801,10395,6591,1887,686,0,Kotak 811
142534,635,9522,3697,749,10518,146,3113,4460,0,Kotak 811
297745,664,3485,1991,4153,229,410,3481,0,0,Kotak 811
140437,685,45,3451,16074,319,636,890,3947,2,Axis Flipkart
44624,684,966,1404,5564,6058,357,661,4144,2,Axis Flipkart
45195,824,221,2843,5584,662,2742,1267,5497,5,HDFC Millennia
128368,778,626,4927,11380,7396,566,8617,1787,8,IndusInd Legend
145774,694,141,319,1150,1440,3282,410,379,0,Kotak 811
50675,776,2423,1515,3338,2864,992,3844,32,4,SBI Cashback Card
78919,716,1205,7322,12742,4743,10236,127,2108,4,SBI Cashback Card
25389,747,769,286,5089,347,376,278,2083,3,Amazon Pay ICICI
436479,639,799,1241,149,2972,637,1273,8199,0,Kotak 811
18708,760,1718,503,1060,1731,302,34,350,2,Axis Flipkart
141486,748,20889,2360,21261,14771,34,1435,11330,3,Amazon Pay ICICI
41901,800,529,2925,958,2458,128,1247,1218,4,SBI Cashback Card
125303,737,849,15583,530,3376,3570,1470,289,5,HDFC Millennia
44233,655,1589,3945,3874,2639,507,2,338,0,Kotak 811
474404,753,1018,5314,9058,6838,1573,37,2623,8,IndusInd Legend
25082,740,2756,419,2799,7569,107,6,570,3,Amazon Pay ICICI
32674,693,2519,23,2908,2483,1326,289,1636,2,Axis Flipkart
21943,623,3192,52,965,27,70,1699,384,0,Kotak 811
52586,616,1277,9097,2541,2861,700,2600,1065,0,Kotak 811
160103,796,1550,8837,4183,1385,4824,974,6011,8,IndusInd Legend
146664,779,4571,10761,5190,4594,467,3677,1631,8,IndusInd Legend
10062,705,538,421,637,23,94,106,502,0,Kotak 811
21173,752,2711,2850,2446,198,289,251,243,1,SBI SimplyCLICK
63606,657,304,10485,11200,1238,4216,3141,2544,0,Kotak 811
11200,758,54,1581,480,660,708,773,189,0,Kotak 811
66968,702,702,5999,1322,6343,698,267,483,4,SBI Cashback Card
45929,703,1205,409,1155,2690,1719,413,109,4,SBI Cashback Card
28453,745,917,1275,2215,2713,1378,171,789,3,Amazon Pay ICICI
26920,735,201,885,414,2536,248,428,2433,3,Amazon Pay ICICI
60192,664,7031,5386,3156,10440,604,2415,5136,0,Kotak 811
58272,785,2098,944,11251,9984,1463,146,1143,3,Amazon Pay ICICI
19447,682,2448,767,1517,5358,53,650,59,2,Axis Flipkart
49565,655,1283,1848,352,1829,1237,2034,2119,0,Kotak 811
124925,678,8312,2803,7497,601,328,119,2609,0,Kotak 811
59660,787,52,1108,7452,2332,2591,813,1182,5,HDFC Millennia
53047,766,3379,9333,4586,4246,361,1090,2673,5,HDFC Millennia
10053,697,1438,568,209,64,479,155,693,0,Kotak 811
32485,635,2297,796,9089,2629,509,326,275,0,Kotak 811
133493,753,6438,1247,694,7202,1378,1358,94,7,HDFC Regalia
301956,757,7826,5966,14645,9188,1681,538,2165,7,HDFC Regalia
72391,691,3733,403,721,39414,1145,3194,4758,2,Axis Flipkart
48386,758,1111,12573,10755,7322,1008,21,161,5,HDFC Millennia
103469,784,4409,11989,6631,5218,14026,3392,1751,8,IndusInd Legend
58340,841,9218,12354,2440,3500,554,10143,9263,5,HDFC Millennia
202691,759,8049,2700,14943,699,7772,2396,167,7,HDFC Regalia
10570,720,513,1164,1756,451,96,14,366,0,Kotak 811
22380,709,814,2072,5394,1824,2747,1528,786,1,SBI SimplyCLICK
44173,643,2381,1549,235,113,972,124,1649,0,Kotak 811
50517,792,6544,540,1130,984,2374,1493,1949,5,HDFC Millennia
11230,689,287,513,566,994,999,131,360,0,Kotak 811
16065,616,102,235,255,4645,915,1765,372,0,Kotak 811
20295,706,25,2844,923,708,292,2405,151,0,Kotak 811
21779,718,470,1443,3547,257,757,490,135,1,SBI SimplyCLICK
327597,669,2623,24899,3777,7535,993,1085,634,0,Kotak 811
88018,695,3475,10999,34138,13217,1393,521,2016,2,Axis Flipkart
39536,768,4321,1418,7767,1651,629,765,2273,3,Amazon Pay ICICI
59700,725,7297,2461,20981,12861,3231,626,337,5,HDFC Millennia
16263,823,197,2272,547,3407,2279,440,100,2,Axis Flipkart
51143,726,5723,6502,984,4570,509,402,4238,5,HDFC Millennia
71669,669,3943,315,3386,1513,884,1853,637,0,Kotak 811
146124,764,4298,8573,5394,7306,8208,1131,3694,8,IndusInd Legend
21601,779,539,1234,2062,4172,616,480,44,1,SBI SimplyCLICK
91027,626,228,7737,887,5623,989,457,1432,0,Kotak 811
41061,701,2597,777,3338,6377,2960,3445,748,4,SBI Cashback Card
49484,705,1610,1369,1998,1376,83,1605,1800,2,Axis Flipkart
36410,691,2111,2666,2570,1256,3555,483,885,2,Axis Flipkart
28359,680,261,852,5371,211,5434,706,4752,2,Axis Flipkart
14567,772,1082,371,608,694,1424,97,2,0,Kotak 811
110248,672,1568,731,21294,9200,1861,4805,860,0,Kotak 811
490401,686,10794,2260,8809,1901,634,489,1256,2,Axis Flipkart
23272,658,1600,5573,343,2464,931,652,460,0,Kotak 811
116683,717,12067,10321,6270,6420,6859,1224,1187,4,SBI Cashback Card
115798,730,2806,758,29556,1450,208,2168,4028,3,Amazon Pay ICICI
24011,665,2974,2993,3311,1582,271,423,1515,0,Kotak 811
56417,695,869,4296,1644,3889,1004,3131,3878,2,Axis Flipkart
18869,833,60,1230,320,2716,334,1473,629,2,Axis Flipkart
17693,711,977,3915,661,406,751,546,285,0,Kotak 811
15368,674,662,1826,69,1453,642,129,703,0,Kotak 811
78279,637,503,2630,3997,6758,3220,174,1508,0,Kotak 811
285899,677,764,1491,5477,7429,301,917,10389,0,Kotak 811
462257,802,2322,8375,5683,6788,1678,3155,5219,8,IndusInd Legend
44094,805,4926,1990,2101,8698,510,2623,1167,4,SBI Cashback Card
10607,729,1122,1058,1265,332,113,80,825,0,Kotak 811
52938,779,4857,1309,24557,110,1959,1825,2466,3,Amazon Pay ICICI
24448,708,1007,4866,3660,273,814,456,1560,1,SBI SimplyCLICK
50592,776,4961,217,879,1654,161,433,3587,3,Amazon Pay ICICI
46164,710,5405,4851,13539,5619,695,420,2209,4,SBI Cashback Card
55595,718,1073,5496,1761,10433,1044,1420,115,4,SBI Cashback Card
41524,697,234,713,215,3271,562,436,670,2,Axis Flipkart
59172,707,4201,3809,1441,1107,832,4576,1876,6,ICICI Coral
29933,696,63,1191,3575,514,1228,288,2600,2,Axis Flipkart
22211,729,706,488,2478,3107,993,1236,449,1,SBI SimplyCLICK
19107,734,143,283,828,2192,540,621,3218,2,Axis Flipkart
47337,542,2738,4145,3287,3920,45,850,619,0,Kotak 811
15002,662,1304,350,3010,130,80,1858,672,0,Kotak 811
41395,679,2295,3799,3545,1856,534,1938,424,0,Kotak 811
93783,765,1074,780,9064,722,17337,486,2705,5,HDFC Millennia
16155,644,944,2124,2981,851,970,577,832,0,Kotak 811
143329,795,4034,1088,187,2703,2373,4395,409,7,HDFC Regalia
14769,694,1111,410,1100,1414,1361,742,666,0,Kotak 811
32697,705,5063,1031,446,1527,56,1207,3047,2,Axis Flipkart
17766,728,105,2531,4451,1491,77,292,927,2,Axis Flipkart
27253,799,792,2392,12250,557,538,570,161,3,Amazon Pay ICICI
285150,733,2334,550,510,13315,1869,925,1941,4,SBI Cashback Card
54377,740,448,3758,6428,5246,3045,3588,1507,5,HDFC Millennia
17269,663,26,462,1010,1326,1310,120,92,0,Kotak 811
42241,787,227,198,470,2976,1328,359,1715,4,SBI Cashback Card
40882,859,2867,950,1503,3110,3731,2172,1430,5,HDFC Millennia
125911,638,5444,4877,3331,14537,63,910,175,0,Kotak 811
379304,711,4451,16010,8455,2202,1386,1918,4682,4,SBI Cashback Card
117656,671,817,378,5188,674,363,6794,6182,0,Kotak 811
39327,716,2543,1835,4108,199,2643,3551,1645,4,SBI Cashback Card
77576,612,1856,813,3728,1065,3976,562,181,0,Kotak 811
17680,809,311,495,1334,1604,635,90,133,2,Axis Flipkart
486430,802,3337,2306,4760,4188,672,908,4702,7,HDFC Regalia
178926,627,597,12483,26538,1169,3841,98,1559,0,Kotak 811
289005,706,7465,18038,167,24280,270,4041,986,4,SBI Cashback Card
49846,842,167,3648,11598,1926,486,932,98,5,HDFC Millennia
40882,788,1984,5717,4080,5018,1492,699,5181,5,HDFC Millennia
22173,686,865,37,3797,3090,1374,236,1610,2,Axis Flipkart
21514,688,631,90,1091,1233,568,332,1572,0,Kotak 811
18531,687,895,1089,9669,334,221,71,1849,2,Axis Flipkart
44880,774,1630,2156,12402,14853,2857,2030,2048,5,HDFC Millennia
74506,615,13301,916,3587,4822,238,10,3308,0,Kotak 811
26079,777,35,9323,110,7168,832,2754,127,2,Axis Flipkart
20668,829,1191,385,1831,197,333,1006,475,2,Axis Flipkart
171650,750,7990,1526,3822,3162,11480,478,4815,7,HDFC Regalia
88379,699,7337,12078,461,7066,452,1290,2386,2,Axis Flipkart
454123,743,2268,856,1296,17887,6350,5701,14314,5,HDFC Millennia
64758,670,4687,4606,18076,2230,723,2210,574,0,Kotak 811
46292,684,3337,1486,6320,1969,403,1066,258,2,Axis Flipkart
21440,717,1523,346,823,921,2046,190,82,1,SBI SimplyCLICK
19290,679,36,1933,865,206,225,634,248,0,Kotak 811
29603,726,1751,3913,2799,830,349,375,212,3,Amazon Pay ICICI
49299,840,2634,275,8780,769,2531,2336,2474,5,HDFC Millennia
119123,637,62,6288,8289,9616,8098,48,500,0,Kotak 811
63332,723,72,6746,1480,722,2577,780,148,5,HDFC Millennia
36772,724,972,7140,151,2111,1678,3158,1424,5,HDFC Millennia
38798,761,2738,10462,1940,434,1728,1622,1328,5,HDFC Millennia
53022,764,1774,4395,7249,1120,1102,532,469,5,HDFC Millennia
45863,745,5150,740,14356,1734,760,94,1221,3,Amazon Pay ICICI
45039,736,1796,2844,11739,7387,2769,460,4374,5,HDFC Millennia
31358,853,1344,320,1172,4067,2478,148,3818,4,SBI Cashback Card
393015,720,1537,9173,12193,25858,2732,205,3122,5,HDFC Millennia
347223,752,4548,3082,6467,2207,1945,3780,11928,7,HDFC Regalia
68802,778,4929,2482,14546,7113,328,1153,5985,3,Amazon Pay ICICI
75386,665,12817,2125,11204,2996,449,25,2357,0,Kotak 811
19216,669,715,52,249,826,50,310,493,0,Kotak 811
40960,745,363,1062,193,8752,1771,1798,611,4,SBI Cashback Card
48620,772,164,888,2637,964,0,3835,3611,3,Amazon Pay ICICI
103258,765,1654,1663,568,8176,3723,641,4151,7,HDFC Regalia
17867,660,42,710,2897,596,419,643,508,0,Kotak 811
23390,707,6308,1235,10139,2628,267,578,4533,1,SBI SimplyCLICK
56601,810,6647,1785,17433,588,41,4247,161,3,Amazon Pay ICICI
23127,639,775,117,586,835,534,2807,1525,0,Kotak 811
287152,729,279,2119,2654,2317,538,3668,392,4,SBI Cashback Card
176081,749,3539,486,23333,1701,5890,443,5771,5,HDFC Millennia
62895,691,10303,12071,10772,11024,558,672,857,2,Axis Flipkart
34196,749,376,1016,2393,4354,1839,1134,231,4,SBI Cashback Card
55930,667,136,1432,17425,13741,971,78,441,0,Kotak 811
100544,579,6573,5942,7523,3590,2272,3286,5245,0,Kotak 811
28114,577,635,2270,1236,361,1020,1515,541,0,Kotak 811
70313,763,3725,4200,10014,7015,603,1434,1798,5,HDFC Millennia
47641,726,3291,97,5580,1448,109,1434,524,3,Amazon Pay ICICI
13237,687,1919,6,875,139,194,1103,93,0,Kotak 811
50693,704,1009,342,10607,5292,727,1483,455,4,SBI Cashback Card
